keyword,search_volume,cpc,competition,competition_index,low_top_of_page_bid,high_top_of_page_bid,source_location,source,checked_at
"deck builder charlotte nc",320,36.41,HIGH,75,10.13,50.27,"Charlotte, NC","DataForSEO · Google Ads search volume","2026-07-01T18:12:59.328Z"
"deck builders charlotte",320,36.41,HIGH,75,10.13,50.27,"Charlotte, NC","DataForSEO · Google Ads search volume","2026-07-01T18:12:59.328Z"
"fence company charlotte",260,8.78,HIGH,100,7.3,31.5,"Charlotte, NC","DataForSEO · Google Ads search volume","2026-07-01T18:12:59.328Z"
"fence contractor charlotte",260,8.78,HIGH,100,7.3,31.5,"Charlotte, NC","DataForSEO · Google Ads search volume","2026-07-01T18:12:59.328Z"
"deck builders near me",170,13.32,HIGH,80,10.14,46.45,"Charlotte, NC","DataForSEO · Google Ads search volume","2026-07-01T18:12:59.328Z"
"fence installers near me",170,13.6,HIGH,85,8.1,28.69,"Charlotte, NC","DataForSEO · Google Ads search volume","2026-07-01T18:12:59.328Z"
"fence installation near me",170,13.6,HIGH,85,8.1,28.69,"Charlotte, NC","DataForSEO · Google Ads search volume","2026-07-01T18:12:59.328Z"
"fence installation charlotte nc",90,21.04,HIGH,92,8.48,38.94,"Charlotte, NC","DataForSEO · Google Ads search volume","2026-07-01T18:12:59.328Z"
"deck repair charlotte",70,14.67,HIGH,96,6.37,25.02,"Charlotte, NC","DataForSEO · Google Ads search volume","2026-07-01T18:12:59.328Z"
"fence repair charlotte",50,14.15,HIGH,94,6.29,26.07,"Charlotte, NC","DataForSEO · Google Ads search volume","2026-07-01T18:12:59.328Z"
"vinyl fence installation",50,,LOW,15,,,"Charlotte, NC","DataForSEO · Google Ads search volume","2026-07-01T18:12:59.328Z"
"screened porch charlotte",40,30.8,HIGH,67,6.57,60.18,"Charlotte, NC","DataForSEO · Google Ads search volume","2026-07-01T18:12:59.328Z"
"screened in porch cost",40,2.48,HIGH,88,1.79,18.05,"Charlotte, NC","DataForSEO · Google Ads search volume","2026-07-01T18:12:59.328Z"
"deck repair near me",30,6.69,HIGH,100,7.89,24.7,"Charlotte, NC","DataForSEO · Google Ads search volume","2026-07-01T18:12:59.328Z"
"fence repair near me",30,17.74,HIGH,74,5.11,24.65,"Charlotte, NC","DataForSEO · Google Ads search volume","2026-07-01T18:12:59.328Z"
"deck railing installation",30,0.2,LOW,20,,,"Charlotte, NC","DataForSEO · Google Ads search volume","2026-07-01T18:12:59.328Z"
"privacy fence installation",20,,MEDIUM,36,,,"Charlotte, NC","DataForSEO · Google Ads search volume","2026-07-01T18:12:59.328Z"
"aluminum fence installation",20,,LOW,25,,,"Charlotte, NC","DataForSEO · Google Ads search volume","2026-07-01T18:12:59.328Z"
"screened porch builder",20,41.6,LOW,17,,,"Charlotte, NC","DataForSEO · Google Ads search volume","2026-07-01T18:12:59.328Z"
"cost to build a deck",10,11.56,MEDIUM,52,1.84,7.01,"Charlotte, NC","DataForSEO · Google Ads search volume","2026-07-01T18:12:59.328Z"
"wood fence charlotte",10,17.76,HIGH,100,,,"Charlotte, NC","DataForSEO · Google Ads search volume","2026-07-01T18:12:59.328Z"
"fence replacement charlotte",10,,,,,"Charlotte, NC","DataForSEO · Google Ads search volume","2026-07-01T18:12:59.328Z"
"wood privacy fence installation",10,,LOW,0,,,"Charlotte, NC","DataForSEO · Google Ads search volume","2026-07-01T18:12:59.328Z"
"fence post repair",10,0.56,HIGH,92,,,"Charlotte, NC","DataForSEO · Google Ads search volume","2026-07-01T18:12:59.328Z"
"storm damage fence repair",10,,,,,"Charlotte, NC","DataForSEO · Google Ads search volume","2026-07-01T18:12:59.328Z"
"leaning fence repair",10,,,,,"Charlotte, NC","DataForSEO · Google Ads search volume","2026-07-01T18:12:59.328Z"
"vinyl fence charlotte",10,,HIGH,100,,,"Charlotte, NC","DataForSEO · Google Ads search volume","2026-07-01T18:12:59.328Z"
"aluminum fence charlotte",10,26.33,MEDIUM,50,,,"Charlotte, NC","DataForSEO · Google Ads search volume","2026-07-01T18:12:59.328Z"
"gate repair",10,6.19,HIGH,100,4.43,16.43,"Charlotte, NC","DataForSEO · Google Ads search volume","2026-07-01T18:12:59.328Z"
"gate installation",10,,LOW,0,,,"Charlotte, NC","DataForSEO · Google Ads search volume","2026-07-01T18:12:59.328Z"
"driveway gate installation",10,,MEDIUM,43,,,"Charlotte, NC","DataForSEO · Google Ads search volume","2026-07-01T18:12:59.328Z"
"fence company matthews nc",10,,HIGH,100,,,"Charlotte, NC","DataForSEO · Google Ads search volume","2026-07-01T18:12:59.328Z"
"deck rebuild",10,,HIGH,79,,,"Charlotte, NC","DataForSEO · Google Ads search volume","2026-07-01T18:12:59.328Z"
"deck replacement",10,40.83,HIGH,68,6.92,26.58,"Charlotte, NC","DataForSEO · Google Ads search volume","2026-07-01T18:12:59.328Z"
"rotted deck repair",10,,,,,"Charlotte, NC","DataForSEO · Google Ads search volume","2026-07-01T18:12:59.328Z"
"deck railing repair",10,,LOW,0,,,"Charlotte, NC","DataForSEO · Google Ads search volume","2026-07-01T18:12:59.328Z"
"deck stairs repair",10,,LOW,17,,,"Charlotte, NC","DataForSEO · Google Ads search volume","2026-07-01T18:12:59.328Z"
"deck board replacement",10,0.09,HIGH,87,1.93,7.58,"Charlotte, NC","DataForSEO · Google Ads search volume","2026-07-01T18:12:59.328Z"
"composite deck builder",10,,LOW,18,,,"Charlotte, NC","DataForSEO · Google Ads search volume","2026-07-01T18:12:59.328Z"
"wood deck builder",10,17.7,MEDIUM,43,,,"Charlotte, NC","DataForSEO · Google Ads search volume","2026-07-01T18:12:59.328Z"
"covered deck builder",10,,HIGH,100,,,"Charlotte, NC","DataForSEO · Google Ads search volume","2026-07-01T18:12:59.328Z"
"deck to screened porch conversion",10,,HIGH,100,,,"Charlotte, NC","DataForSEO · Google Ads search volume","2026-07-01T18:12:59.328Z"
"how much does a deck cost",10,,HIGH,95,1.85,4.07,"Charlotte, NC","DataForSEO · Google Ads search volume","2026-07-01T18:12:59.328Z"
"average cost of a deck",10,3.93,HIGH,67,1.82,5.57,"Charlotte, NC","DataForSEO · Google Ads search volume","2026-07-01T18:12:59.328Z"
"deck cost calculator",10,3.29,LOW,27,0.77,3.01,"Charlotte, NC","DataForSEO · Google Ads search volume","2026-07-01T18:12:59.328Z"
"deck builder ballantyne",10,,LOW,0,,,"Charlotte, NC","DataForSEO · Google Ads search volume","2026-07-01T18:12:59.328Z"
"deck builder matthews nc",10,,,,,"Charlotte, NC","DataForSEO · Google Ads search volume","2026-07-01T18:12:59.328Z"
"deck building cost charlotte",,,,,,,"Charlotte, NC","DataForSEO · Google Ads search volume","2026-07-01T18:12:59.328Z"
"privacy fence charlotte",,,,,,,"Charlotte, NC","DataForSEO · Google Ads search volume","2026-07-01T18:12:59.328Z"
"replace fence charlotte nc",,,,,,,"Charlotte, NC","DataForSEO · Google Ads search volume","2026-07-01T18:12:59.328Z"
"fence installers ballantyne",,,,,,,"Charlotte, NC","DataForSEO · Google Ads search volume","2026-07-01T18:12:59.328Z"
"fence company waxhaw",,,,,,,"Charlotte, NC","DataForSEO · Google Ads search volume","2026-07-01T18:12:59.328Z"
"fence contractor fort mill sc",,,,,,,"Charlotte, NC","DataForSEO · Google Ads search volume","2026-07-01T18:12:59.328Z"
"fence installation indian land sc",,,,,,,"Charlotte, NC","DataForSEO · Google Ads search volume","2026-07-01T18:12:59.328Z"
"fence company pineville nc",,,,,,,"Charlotte, NC","DataForSEO · Google Ads search volume","2026-07-01T18:12:59.328Z"
"fence installation weddington",,,,,,,"Charlotte, NC","DataForSEO · Google Ads search volume","2026-07-01T18:12:59.328Z"
"deck contractor charlotte",,,,,,,"Charlotte, NC","DataForSEO · Google Ads search volume","2026-07-01T18:12:59.328Z"
"deck construction charlotte",,,,,,,"Charlotte, NC","DataForSEO · Google Ads search volume","2026-07-01T18:12:59.328Z"
"deck company charlotte",,,,,,,"Charlotte, NC","DataForSEO · Google Ads search volume","2026-07-01T18:12:59.328Z"
"deck restoration charlotte",,,,,,,"Charlotte, NC","DataForSEO · Google Ads search volume","2026-07-01T18:12:59.328Z"
"composite decking charlotte",,,,,,,"Charlotte, NC","DataForSEO · Google Ads search volume","2026-07-01T18:12:59.328Z"
"trex deck builder charlotte",,,,,,,"Charlotte, NC","DataForSEO · Google Ads search volume","2026-07-01T18:12:59.328Z"
"custom deck builder charlotte",,,,,,,"Charlotte, NC","DataForSEO · Google Ads search volume","2026-07-01T18:12:59.328Z"
"covered porch charlotte",,,,,,,"Charlotte, NC","DataForSEO · Google Ads search volume","2026-07-01T18:12:59.328Z"
"deck builder waxhaw",,,,,,,"Charlotte, NC","DataForSEO · Google Ads search volume","2026-07-01T18:12:59.328Z"
"deck builder fort mill sc",,,,,,,"Charlotte, NC","DataForSEO · Google Ads search volume","2026-07-01T18:12:59.328Z"
"deck builder pineville",,,,,,,"Charlotte, NC","DataForSEO · Google Ads search volume","2026-07-01T18:12:59.328Z"
